Gene_Symbol,Probe_ID_GPL570,Probe_ID_GPL96,Mapping_Status,Platform_Source,Gene_Title,Mapping_Confidence
GENE_00612,probe_gpl570_00612,probe_gpl96_00612,Shared,GPL570 & GPL96,Gene 612,High
GENE_00613,probe_gpl570_00613,probe_gpl96_00613,Shared,GPL570 & GPL96,Gene 613,High
GENE_00614,probe_gpl570_00614,probe_gpl96_00614,Shared,GPL570 & GPL96,Gene 614,High
GENE_00615,probe_gpl570_00615,probe_gpl96_00615,Shared,GPL570 & GPL96,Gene 615,High
GENE_00616,probe_gpl570_00616,probe_gpl96_00616,Shared,GPL570 & GPL96,Gene 616,High
GENE_00617,probe_gpl570_00617,probe_gpl96_00617,Shared,GPL570 & GPL96,Gene 617,High
GENE_00618,probe_gpl570_00618,probe_gpl96_00618,Shared,GPL570 & GPL96,Gene 618,High
GENE_00619,probe_gpl570_00619,probe_gpl96_00619,Shared,GPL570 & GPL96,Gene 619,High
GENE_00620,probe_gpl570_00620,probe_gpl96_00620,Shared,GPL570 & GPL96,Gene 620,High
GENE_00621,probe_gpl570_00621,probe_gpl96_00621,Shared,GPL570 & GPL96,Gene 621,High
GENE_00622,probe_gpl570_00622,probe_gpl96_00622,Shared,GPL570 & GPL96,Gene 622,High
GENE_00623,probe_gpl570_00623,probe_gpl96_00623,Shared,GPL570 & GPL96,Gene 623,High
GENE_00624,probe_gpl570_00624,probe_gpl96_00624,Shared,GPL570 & GPL96,Gene 624,High
GENE_00625,probe_gpl570_00625,probe_gpl96_00625,Shared,GPL570 & GPL96,Gene 625,High
GENE_00626,probe_gpl570_00626,probe_gpl96_00626,Shared,GPL570 & GPL96,Gene 626,High
GENE_00627,probe_gpl570_00627,probe_gpl96_00627,Shared,GPL570 & GPL96,Gene 627,High
GENE_00628,probe_gpl570_00628,probe_gpl96_00628,Shared,GPL570 & GPL96,Gene 628,High
GENE_00629,probe_gpl570_00629,probe_gpl96_00629,Shared,GPL570 & GPL96,Gene 629,High
GENE_00630,probe_gpl570_00630,probe_gpl96_00630,Shared,GPL570 & GPL96,Gene 630,High
GENE_00631,probe_gpl570_00631,probe_gpl96_00631,Shared,GPL570 & GPL96,Gene 631,High
GENE_00632,probe_gpl570_00632,probe_gpl96_00632,Shared,GPL570 & GPL96,Gene 632,High
GENE_00633,probe_gpl570_00633,probe_gpl96_00633,Shared,GPL570 & GPL96,Gene 633,High
GENE_00634,probe_gpl570_00634,probe_gpl96_00634,Shared,GPL570 & GPL96,Gene 634,High
GENE_00635,probe_gpl570_00635,probe_gpl96_00635,Shared,GPL570 & GPL96,Gene 635,High
GENE_00636,probe_gpl570_00636,probe_gpl96_00636,Shared,GPL570 & GPL96,Gene 636,High
GENE_00637,probe_gpl570_00637,probe_gpl96_00637,Shared,GPL570 & GPL96,Gene 637,High
GENE_00638,probe_gpl570_00638,probe_gpl96_00638,Shared,GPL570 & GPL96,Gene 638,High
GENE_00639,probe_gpl570_00639,probe_gpl96_00639,Shared,GPL570 & GPL96,Gene 639,High
GENE_00640,probe_gpl570_00640,probe_gpl96_00640,Shared,GPL570 & GPL96,Gene 640,High
GENE_00641,probe_gpl570_00641,probe_gpl96_00641,Shared,GPL570 & GPL96,Gene 641,High
GENE_00642,probe_gpl570_00642,probe_gpl96_00642,Shared,GPL570 & GPL96,Gene 642,High
GENE_00643,probe_gpl570_00643,probe_gpl96_00643,Shared,GPL570 & GPL96,Gene 643,High
GENE_00644,probe_gpl570_00644,probe_gpl96_00644,Shared,GPL570 & GPL96,Gene 644,High
GENE_00645,probe_gpl570_00645,probe_gpl96_00645,Shared,GPL570 & GPL96,Gene 645,High
GENE_00646,probe_gpl570_00646,probe_gpl96_00646,Shared,GPL570 & GPL96,Gene 646,High
GENE_00647,probe_gpl570_00647,probe_gpl96_00647,Shared,GPL570 & GPL96,Gene 647,High
GENE_00648,probe_gpl570_00648,probe_gpl96_00648,Shared,GPL570 & GPL96,Gene 648,High
GENE_00649,probe_gpl570_00649,probe_gpl96_00649,Shared,GPL570 & GPL96,Gene 649,High
GENE_00650,probe_gpl570_00650,probe_gpl96_00650,Shared,GPL570 & GPL96,Gene 650,High
GENE_00651,probe_gpl570_00651,probe_gpl96_00651,Shared,GPL570 & GPL96,Gene 651,High
GENE_00652,probe_gpl570_00652,probe_gpl96_00652,Shared,GPL570 & GPL96,Gene 652,High
GENE_00653,probe_gpl570_00653,probe_gpl96_00653,Shared,GPL570 & GPL96,Gene 653,High
GENE_00654,probe_gpl570_00654,probe_gpl96_00654,Shared,GPL570 & GPL96,Gene 654,High
GENE_00655,probe_gpl570_00655,probe_gpl96_00655,Shared,GPL570 & GPL96,Gene 655,High
GENE_00656,probe_gpl570_00656,probe_gpl96_00656,Shared,GPL570 & GPL96,Gene 656,High
GENE_00657,probe_gpl570_00657,probe_gpl96_00657,Shared,GPL570 & GPL96,Gene 657,High
GENE_00658,probe_gpl570_00658,probe_gpl96_00658,Shared,GPL570 & GPL96,Gene 658,High
GENE_00659,probe_gpl570_00659,probe_gpl96_00659,Shared,GPL570 & GPL96,Gene 659,High
GENE_00660,probe_gpl570_00660,probe_gpl96_00660,Shared,GPL570 & GPL96,Gene 660,High
GENE_00661,probe_gpl570_00661,probe_gpl96_00661,Shared,GPL570 & GPL96,Gene 661,High
GENE_00662,probe_gpl570_00662,probe_gpl96_00662,Shared,GPL570 & GPL96,Gene 662,High
GENE_00663,probe_gpl570_00663,probe_gpl96_00663,Shared,GPL570 & GPL96,Gene 663,High
GENE_00664,probe_gpl570_00664,probe_gpl96_00664,Shared,GPL570 & GPL96,Gene 664,High
GENE_00665,probe_gpl570_00665,probe_gpl96_00665,Shared,GPL570 & GPL96,Gene 665,High
GENE_00666,probe_gpl570_00666,probe_gpl96_00666,Shared,GPL570 & GPL96,Gene 666,High
GENE_00667,probe_gpl570_00667,probe_gpl96_00667,Shared,GPL570 & GPL96,Gene 667,High
GENE_00668,probe_gpl570_00668,probe_gpl96_00668,Shared,GPL570 & GPL96,Gene 668,High
GENE_00669,probe_gpl570_00669,probe_gpl96_00669,Shared,GPL570 & GPL96,Gene 669,High
GENE_00670,probe_gpl570_00670,probe_gpl96_00670,Shared,GPL570 & GPL96,Gene 670,High
GENE_00671,probe_gpl570_00671,probe_gpl96_00671,Shared,GPL570 & GPL96,Gene 671,High
GENE_00672,probe_gpl570_00672,probe_gpl96_00672,Shared,GPL570 & GPL96,Gene 672,High
GENE_00673,probe_gpl570_00673,probe_gpl96_00673,Shared,GPL570 & GPL96,Gene 673,High
GENE_00674,probe_gpl570_00674,probe_gpl96_00674,Shared,GPL570 & GPL96,Gene 674,High
GENE_00675,probe_gpl570_00675,probe_gpl96_00675,Shared,GPL570 & GPL96,Gene 675,High
GENE_00676,probe_gpl570_00676,probe_gpl96_00676,Shared,GPL570 & GPL96,Gene 676,High
GENE_00677,probe_gpl570_00677,probe_gpl96_00677,Shared,GPL570 & GPL96,Gene 677,High
GENE_00678,probe_gpl570_00678,probe_gpl96_00678,Shared,GPL570 & GPL96,Gene 678,High
GENE_00679,probe_gpl570_00679,probe_gpl96_00679,Shared,GPL570 & GPL96,Gene 679,High
GENE_00680,probe_gpl570_00680,probe_gpl96_00680,Shared,GPL570 & GPL96,Gene 680,High
GENE_00681,probe_gpl570_00681,probe_gpl96_00681,Shared,GPL570 & GPL96,Gene 681,High
GENE_00682,probe_gpl570_00682,probe_gpl96_00682,Shared,GPL570 & GPL96,Gene 682,High
GENE_00683,probe_gpl570_00683,probe_gpl96_00683,Shared,GPL570 & GPL96,Gene 683,High
GENE_00684,probe_gpl570_00684,probe_gpl96_00684,Shared,GPL570 & GPL96,Gene 684,High
GENE_00685,probe_gpl570_00685,probe_gpl96_00685,Shared,GPL570 & GPL96,Gene 685,High
GENE_00686,probe_gpl570_00686,probe_gpl96_00686,Shared,GPL570 & GPL96,Gene 686,High
GENE_00687,probe_gpl570_00687,probe_gpl96_00687,Shared,GPL570 & GPL96,Gene 687,High
GENE_00688,probe_gpl570_00688,probe_gpl96_00688,Shared,GPL570 & GPL96,Gene 688,High
GENE_00689,probe_gpl570_00689,probe_gpl96_00689,Shared,GPL570 & GPL96,Gene 689,High
GENE_00690,probe_gpl570_00690,probe_gpl96_00690,Shared,GPL570 & GPL96,Gene 690,High
GENE_00691,probe_gpl570_00691,probe_gpl96_00691,Shared,GPL570 & GPL96,Gene 691,High
GENE_00692,probe_gpl570_00692,probe_gpl96_00692,Shared,GPL570 & GPL96,Gene 692,High
GENE_00693,probe_gpl570_00693,probe_gpl96_00693,Shared,GPL570 & GPL96,Gene 693,High
GENE_00694,probe_gpl570_00694,probe_gpl96_00694,Shared,GPL570 & GPL96,Gene 694,High
GENE_00695,probe_gpl570_00695,probe_gpl96_00695,Shared,GPL570 & GPL96,Gene 695,High
GENE_00696,probe_gpl570_00696,probe_gpl96_00696,Shared,GPL570 & GPL96,Gene 696,High
GENE_00697,probe_gpl570_00697,probe_gpl96_00697,Shared,GPL570 & GPL96,Gene 697,High
GENE_00698,probe_gpl570_00698,probe_gpl96_00698,Shared,GPL570 & GPL96,Gene 698,High
GENE_00699,probe_gpl570_00699,probe_gpl96_00699,Shared,GPL570 & GPL96,Gene 699,High
GENE_00700,probe_gpl570_00700,probe_gpl96_00700,Shared,GPL570 & GPL96,Gene 700,High
GENE_00701,probe_gpl570_00701,probe_gpl96_00701,Shared,GPL570 & GPL96,Gene 701,High
GENE_00702,probe_gpl570_00702,probe_gpl96_00702,Shared,GPL570 & GPL96,Gene 702,High
GENE_00703,probe_gpl570_00703,probe_gpl96_00703,Shared,GPL570 & GPL96,Gene 703,High
GENE_00704,probe_gpl570_00704,probe_gpl96_00704,Shared,GPL570 & GPL96,Gene 704,High
GENE_00705,probe_gpl570_00705,probe_gpl96_00705,Shared,GPL570 & GPL96,Gene 705,High
GENE_00706,probe_gpl570_00706,probe_gpl96_00706,Shared,GPL570 & GPL96,Gene 706,High
GENE_00707,probe_gpl570_00707,probe_gpl96_00707,Shared,GPL570 & GPL96,Gene 707,High
GENE_00708,probe_gpl570_00708,probe_gpl96_00708,Shared,GPL570 & GPL96,Gene 708,High
GENE_00709,probe_gpl570_00709,probe_gpl96_00709,Shared,GPL570 & GPL96,Gene 709,High
GENE_00710,probe_gpl570_00710,probe_gpl96_00710,Shared,GPL570 & GPL96,Gene 710,High
GENE_00711,probe_gpl570_00711,probe_gpl96_00711,Shared,GPL570 & GPL96,Gene 711,High
GENE_00712,probe_gpl570_00712,probe_gpl96_00712,Shared,GPL570 & GPL96,Gene 712,High
GENE_00713,probe_gpl570_00713,probe_gpl96_00713,Shared,GPL570 & GPL96,Gene 713,High
GENE_00714,probe_gpl570_00714,probe_gpl96_00714,Shared,GPL570 & GPL96,Gene 714,High
GENE_00715,probe_gpl570_00715,probe_gpl96_00715,Shared,GPL570 & GPL96,Gene 715,High
GENE_00716,probe_gpl570_00716,probe_gpl96_00716,Shared,GPL570 & GPL96,Gene 716,High
GENE_00717,probe_gpl570_00717,probe_gpl96_00717,Shared,GPL570 & GPL96,Gene 717,High
GENE_00718,probe_gpl570_00718,probe_gpl96_00718,Shared,GPL570 & GPL96,Gene 718,High
GENE_00719,probe_gpl570_00719,probe_gpl96_00719,Shared,GPL570 & GPL96,Gene 719,High
GENE_00720,probe_gpl570_00720,probe_gpl96_00720,Shared,GPL570 & GPL96,Gene 720,High
GENE_00721,probe_gpl570_00721,probe_gpl96_00721,Shared,GPL570 & GPL96,Gene 721,High
GENE_00722,probe_gpl570_00722,probe_gpl96_00722,Shared,GPL570 & GPL96,Gene 722,High
GENE_00723,probe_gpl570_00723,probe_gpl96_00723,Shared,GPL570 & GPL96,Gene 723,High
GENE_00724,probe_gpl570_00724,probe_gpl96_00724,Shared,GPL570 & GPL96,Gene 724,High
GENE_00725,probe_gpl570_00725,probe_gpl96_00725,Shared,GPL570 & GPL96,Gene 725,High
GENE_00726,probe_gpl570_00726,probe_gpl96_00726,Shared,GPL570 & GPL96,Gene 726,High
GENE_00727,probe_gpl570_00727,probe_gpl96_00727,Shared,GPL570 & GPL96,Gene 727,High
GENE_00728,probe_gpl570_00728,probe_gpl96_00728,Shared,GPL570 & GPL96,Gene 728,High
GENE_00729,probe_gpl570_00729,probe_gpl96_00729,Shared,GPL570 & GPL96,Gene 729,High
GENE_00730,probe_gpl570_00730,probe_gpl96_00730,Shared,GPL570 & GPL96,Gene 730,High
GENE_00731,probe_gpl570_00731,probe_gpl96_00731,Shared,GPL570 & GPL96,Gene 731,High
GENE_00732,probe_gpl570_00732,probe_gpl96_00732,Shared,GPL570 & GPL96,Gene 732,High
GENE_00733,probe_gpl570_00733,probe_gpl96_00733,Shared,GPL570 & GPL96,Gene 733,High
GENE_00734,probe_gpl570_00734,probe_gpl96_00734,Shared,GPL570 & GPL96,Gene 734,High
GENE_00735,probe_gpl570_00735,probe_gpl96_00735,Shared,GPL570 & GPL96,Gene 735,High
GENE_00736,probe_gpl570_00736,probe_gpl96_00736,Shared,GPL570 & GPL96,Gene 736,High
GENE_00737,probe_gpl570_00737,probe_gpl96_00737,Shared,GPL570 & GPL96,Gene 737,High
GENE_00738,probe_gpl570_00738,probe_gpl96_00738,Shared,GPL570 & GPL96,Gene 738,High
GENE_00739,probe_gpl570_00739,probe_gpl96_00739,Shared,GPL570 & GPL96,Gene 739,High
GENE_00740,probe_gpl570_00740,probe_gpl96_00740,Shared,GPL570 & GPL96,Gene 740,High
GENE_00741,probe_gpl570_00741,probe_gpl96_00741,Shared,GPL570 & GPL96,Gene 741,High
GENE_00742,probe_gpl570_00742,probe_gpl96_00742,Shared,GPL570 & GPL96,Gene 742,High
GENE_00743,probe_gpl570_00743,probe_gpl96_00743,Shared,GPL570 & GPL96,Gene 743,High
GENE_00744,probe_gpl570_00744,probe_gpl96_00744,Shared,GPL570 & GPL96,Gene 744,High
GENE_00745,probe_gpl570_00745,probe_gpl96_00745,Shared,GPL570 & GPL96,Gene 745,High
GENE_00746,probe_gpl570_00746,probe_gpl96_00746,Shared,GPL570 & GPL96,Gene 746,High
GENE_00747,probe_gpl570_00747,probe_gpl96_00747,Shared,GPL570 & GPL96,Gene 747,High
GENE_00748,probe_gpl570_00748,probe_gpl96_00748,Shared,GPL570 & GPL96,Gene 748,High
GENE_00749,probe_gpl570_00749,probe_gpl96_00749,Shared,GPL570 & GPL96,Gene 749,High
GENE_00750,probe_gpl570_00750,probe_gpl96_00750,Shared,GPL570 & GPL96,Gene 750,High
GENE_00751,probe_gpl570_00751,probe_gpl96_00751,Shared,GPL570 & GPL96,Gene 751,High
GENE_00752,probe_gpl570_00752,probe_gpl96_00752,Shared,GPL570 & GPL96,Gene 752,High
GENE_00753,probe_gpl570_00753,probe_gpl96_00753,Shared,GPL570 & GPL96,Gene 753,High
GENE_00754,probe_gpl570_00754,probe_gpl96_00754,Shared,GPL570 & GPL96,Gene 754,High
GENE_00755,probe_gpl570_00755,probe_gpl96_00755,Shared,GPL570 & GPL96,Gene 755,High
GENE_00756,probe_gpl570_00756,probe_gpl96_00756,Shared,GPL570 & GPL96,Gene 756,High
GENE_00757,probe_gpl570_00757,probe_gpl96_00757,Shared,GPL570 & GPL96,Gene 757,High
GENE_00758,probe_gpl570_00758,probe_gpl96_00758,Shared,GPL570 & GPL96,Gene 758,High
GENE_00759,probe_gpl570_00759,probe_gpl96_00759,Shared,GPL570 & GPL96,Gene 759,High
GENE_00760,probe_gpl570_00760,probe_gpl96_00760,Shared,GPL570 & GPL96,Gene 760,High
GENE_00761,probe_gpl570_00761,probe_gpl96_00761,Shared,GPL570 & GPL96,Gene 761,High
GENE_00762,probe_gpl570_00762,probe_gpl96_00762,Shared,GPL570 & GPL96,Gene 762,High
GENE_00763,probe_gpl570_00763,probe_gpl96_00763,Shared,GPL570 & GPL96,Gene 763,High
GENE_00764,probe_gpl570_00764,probe_gpl96_00764,Shared,GPL570 & GPL96,Gene 764,High
GENE_00765,probe_gpl570_00765,probe_gpl96_00765,Shared,GPL570 & GPL96,Gene 765,High
GENE_00766,probe_gpl570_00766,probe_gpl96_00766,Shared,GPL570 & GPL96,Gene 766,High
GENE_00767,probe_gpl570_00767,probe_gpl96_00767,Shared,GPL570 & GPL96,Gene 767,High
GENE_00768,probe_gpl570_00768,probe_gpl96_00768,Shared,GPL570 & GPL96,Gene 768,High
GENE_00769,probe_gpl570_00769,probe_gpl96_00769,Shared,GPL570 & GPL96,Gene 769,High
GENE_00770,probe_gpl570_00770,probe_gpl96_00770,Shared,GPL570 & GPL96,Gene 770,High
GENE_00771,probe_gpl570_00771,probe_gpl96_00771,Shared,GPL570 & GPL96,Gene 771,High
GENE_00772,probe_gpl570_00772,probe_gpl96_00772,Shared,GPL570 & GPL96,Gene 772,High
GENE_00773,probe_gpl570_00773,probe_gpl96_00773,Shared,GPL570 & GPL96,Gene 773,High
GENE_00774,probe_gpl570_00774,probe_gpl96_00774,Shared,GPL570 & GPL96,Gene 774,High
GENE_00775,probe_gpl570_00775,probe_gpl96_00775,Shared,GPL570 & GPL96,Gene 775,High
GENE_00776,probe_gpl570_00776,probe_gpl96_00776,Shared,GPL570 & GPL96,Gene 776,High
GENE_00777,probe_gpl570_00777,probe_gpl96_00777,Shared,GPL570 & GPL96,Gene 777,High
GENE_00778,probe_gpl570_00778,probe_gpl96_00778,Shared,GPL570 & GPL96,Gene 778,High
GENE_00779,probe_gpl570_00779,probe_gpl96_00779,Shared,GPL570 & GPL96,Gene 779,High
GENE_00780,probe_gpl570_00780,probe_gpl96_00780,Shared,GPL570 & GPL96,Gene 780,High
GENE_00781,probe_gpl570_00781,probe_gpl96_00781,Shared,GPL570 & GPL96,Gene 781,High
GENE_00782,probe_gpl570_00782,probe_gpl96_00782,Shared,GPL570 & GPL96,Gene 782,High
GENE_00783,probe_gpl570_00783,probe_gpl96_00783,Shared,GPL570 & GPL96,Gene 783,High
GENE_00784,probe_gpl570_00784,probe_gpl96_00784,Shared,GPL570 & GPL96,Gene 784,High
GENE_00785,probe_gpl570_00785,probe_gpl96_00785,Shared,GPL570 & GPL96,Gene 785,High
GENE_00786,probe_gpl570_00786,probe_gpl96_00786,Shared,GPL570 & GPL96,Gene 786,High
GENE_00787,probe_gpl570_00787,probe_gpl96_00787,Shared,GPL570 & GPL96,Gene 787,High
GENE_00788,probe_gpl570_00788,probe_gpl96_00788,Shared,GPL570 & GPL96,Gene 788,High
GENE_00789,probe_gpl570_00789,probe_gpl96_00789,Shared,GPL570 & GPL96,Gene 789,High
GENE_00790,probe_gpl570_00790,probe_gpl96_00790,Shared,GPL570 & GPL96,Gene 790,High
GENE_00791,probe_gpl570_00791,probe_gpl96_00791,Shared,GPL570 & GPL96,Gene 791,High
GENE_00792,probe_gpl570_00792,probe_gpl96_00792,Shared,GPL570 & GPL96,Gene 792,High
GENE_00793,probe_gpl570_00793,probe_gpl96_00793,Shared,GPL570 & GPL96,Gene 793,High
GENE_00794,probe_gpl570_00794,probe_gpl96_00794,Shared,GPL570 & GPL96,Gene 794,High
GENE_00795,probe_gpl570_00795,probe_gpl96_00795,Shared,GPL570 & GPL96,Gene 795,High
GENE_00796,probe_gpl570_00796,probe_gpl96_00796,Shared,GPL570 & GPL96,Gene 796,High
GENE_00797,probe_gpl570_00797,probe_gpl96_00797,Shared,GPL570 & GPL96,Gene 797,High
GENE_00798,probe_gpl570_00798,probe_gpl96_00798,Shared,GPL570 & GPL96,Gene 798,High
GENE_00799,probe_gpl570_00799,probe_gpl96_00799,Shared,GPL570 & GPL96,Gene 799,High
GENE_00800,probe_gpl570_00800,probe_gpl96_00800,Shared,GPL570 & GPL96,Gene 800,High
GENE_00801,probe_gpl570_00801,probe_gpl96_00801,Shared,GPL570 & GPL96,Gene 801,High
GENE_00802,probe_gpl570_00802,probe_gpl96_00802,Shared,GPL570 & GPL96,Gene 802,High
GENE_00803,probe_gpl570_00803,probe_gpl96_00803,Shared,GPL570 & GPL96,Gene 803,High
GENE_00804,probe_gpl570_00804,probe_gpl96_00804,Shared,GPL570 & GPL96,Gene 804,High
GENE_00805,probe_gpl570_00805,probe_gpl96_00805,Shared,GPL570 & GPL96,Gene 805,High
GENE_00806,probe_gpl570_00806,probe_gpl96_00806,Shared,GPL570 & GPL96,Gene 806,High
GENE_00807,probe_gpl570_00807,probe_gpl96_00807,Shared,GPL570 & GPL96,Gene 807,High
GENE_00808,probe_gpl570_00808,probe_gpl96_00808,Shared,GPL570 & GPL96,Gene 808,High
GENE_00809,probe_gpl570_00809,probe_gpl96_00809,Shared,GPL570 & GPL96,Gene 809,High
GENE_00810,probe_gpl570_00810,probe_gpl96_00810,Shared,GPL570 & GPL96,Gene 810,High
GENE_00811,probe_gpl570_00811,probe_gpl96_00811,Shared,GPL570 & GPL96,Gene 811,High
GENE_00812,probe_gpl570_00812,probe_gpl96_00812,Shared,GPL570 & GPL96,Gene 812,High
GENE_00813,probe_gpl570_00813,probe_gpl96_00813,Shared,GPL570 & GPL96,Gene 813,High
GENE_00814,probe_gpl570_00814,probe_gpl96_00814,Shared,GPL570 & GPL96,Gene 814,High
GENE_00815,probe_gpl570_00815,probe_gpl96_00815,Shared,GPL570 & GPL96,Gene 815,High
GENE_00816,probe_gpl570_00816,probe_gpl96_00816,Shared,GPL570 & GPL96,Gene 816,High
GENE_00817,probe_gpl570_00817,probe_gpl96_00817,Shared,GPL570 & GPL96,Gene 817,High
GENE_00818,probe_gpl570_00818,probe_gpl96_00818,Shared,GPL570 & GPL96,Gene 818,High
GENE_00819,probe_gpl570_00819,probe_gpl96_00819,Shared,GPL570 & GPL96,Gene 819,High
GENE_00820,probe_gpl570_00820,probe_gpl96_00820,Shared,GPL570 & GPL96,Gene 820,High
GENE_00821,probe_gpl570_00821,probe_gpl96_00821,Shared,GPL570 & GPL96,Gene 821,High
GENE_00822,probe_gpl570_00822,probe_gpl96_00822,Shared,GPL570 & GPL96,Gene 822,High
GENE_00823,probe_gpl570_00823,probe_gpl96_00823,Shared,GPL570 & GPL96,Gene 823,High
GENE_00824,probe_gpl570_00824,probe_gpl96_00824,Shared,GPL570 & GPL96,Gene 824,High
GENE_00825,probe_gpl570_00825,probe_gpl96_00825,Shared,GPL570 & GPL96,Gene 825,High
GENE_00826,probe_gpl570_00826,probe_gpl96_00826,Shared,GPL570 & GPL96,Gene 826,High
GENE_00827,probe_gpl570_00827,probe_gpl96_00827,Shared,GPL570 & GPL96,Gene 827,High
GENE_00828,probe_gpl570_00828,probe_gpl96_00828,Shared,GPL570 & GPL96,Gene 828,High
GENE_00829,probe_gpl570_00829,probe_gpl96_00829,Shared,GPL570 & GPL96,Gene 829,High
GENE_00830,probe_gpl570_00830,probe_gpl96_00830,Shared,GPL570 & GPL96,Gene 830,High
GENE_00831,probe_gpl570_00831,probe_gpl96_00831,Shared,GPL570 & GPL96,Gene 831,High
GENE_00832,probe_gpl570_00832,probe_gpl96_00832,Shared,GPL570 & GPL96,Gene 832,High
GENE_00833,probe_gpl570_00833,probe_gpl96_00833,Shared,GPL570 & GPL96,Gene 833,High
GENE_00834,probe_gpl570_00834,probe_gpl96_00834,Shared,GPL570 & GPL96,Gene 834,High
GENE_00835,probe_gpl570_00835,probe_gpl96_00835,Shared,GPL570 & GPL96,Gene 835,High
GENE_00836,probe_gpl570_00836,probe_gpl96_00836,Shared,GPL570 & GPL96,Gene 836,High
GENE_00837,probe_gpl570_00837,probe_gpl96_00837,Shared,GPL570 & GPL96,Gene 837,High
GENE_00838,probe_gpl570_00838,probe_gpl96_00838,Shared,GPL570 & GPL96,Gene 838,High
GENE_00839,probe_gpl570_00839,probe_gpl96_00839,Shared,GPL570 & GPL96,Gene 839,High
GENE_00840,probe_gpl570_00840,probe_gpl96_00840,Shared,GPL570 & GPL96,Gene 840,High
GENE_00841,probe_gpl570_00841,probe_gpl96_00841,Shared,GPL570 & GPL96,Gene 841,High
GENE_00842,probe_gpl570_00842,probe_gpl96_00842,Shared,GPL570 & GPL96,Gene 842,High
GENE_00843,probe_gpl570_00843,probe_gpl96_00843,Shared,GPL570 & GPL96,Gene 843,High
GENE_00844,probe_gpl570_00844,probe_gpl96_00844,Shared,GPL570 & GPL96,Gene 844,High
GENE_00845,probe_gpl570_00845,probe_gpl96_00845,Shared,GPL570 & GPL96,Gene 845,High
GENE_00846,probe_gpl570_00846,probe_gpl96_00846,Shared,GPL570 & GPL96,Gene 846,High
GENE_00847,probe_gpl570_00847,probe_gpl96_00847,Shared,GPL570 & GPL96,Gene 847,High
GENE_00848,probe_gpl570_00848,probe_gpl96_00848,Shared,GPL570 & GPL96,Gene 848,High
GENE_00849,probe_gpl570_00849,probe_gpl96_00849,Shared,GPL570 & GPL96,Gene 849,High
GENE_00850,probe_gpl570_00850,probe_gpl96_00850,Shared,GPL570 & GPL96,Gene 850,High
GENE_00851,probe_gpl570_00851,probe_gpl96_00851,Shared,GPL570 & GPL96,Gene 851,High
GENE_00852,probe_gpl570_00852,probe_gpl96_00852,Shared,GPL570 & GPL96,Gene 852,High
GENE_00853,probe_gpl570_00853,probe_gpl96_00853,Shared,GPL570 & GPL96,Gene 853,High
GENE_00854,probe_gpl570_00854,probe_gpl96_00854,Shared,GPL570 & GPL96,Gene 854,High
GENE_00855,probe_gpl570_00855,probe_gpl96_00855,Shared,GPL570 & GPL96,Gene 855,High
GENE_00856,probe_gpl570_00856,probe_gpl96_00856,Shared,GPL570 & GPL96,Gene 856,High
GENE_00857,probe_gpl570_00857,probe_gpl96_00857,Shared,GPL570 & GPL96,Gene 857,High
GENE_00858,probe_gpl570_00858,probe_gpl96_00858,Shared,GPL570 & GPL96,Gene 858,High
GENE_00859,probe_gpl570_00859,probe_gpl96_00859,Shared,GPL570 & GPL96,Gene 859,High
GENE_00860,probe_gpl570_00860,probe_gpl96_00860,Shared,GPL570 & GPL96,Gene 860,High
GENE_00861,probe_gpl570_00861,probe_gpl96_00861,Shared,GPL570 & GPL96,Gene 861,High
GENE_00862,probe_gpl570_00862,probe_gpl96_00862,Shared,GPL570 & GPL96,Gene 862,High
GENE_00863,probe_gpl570_00863,probe_gpl96_00863,Shared,GPL570 & GPL96,Gene 863,High
GENE_00864,probe_gpl570_00864,probe_gpl96_00864,Shared,GPL570 & GPL96,Gene 864,High
GENE_00865,probe_gpl570_00865,probe_gpl96_00865,Shared,GPL570 & GPL96,Gene 865,High
GENE_00866,probe_gpl570_00866,probe_gpl96_00866,Shared,GPL570 & GPL96,Gene 866,High
GENE_00867,probe_gpl570_00867,probe_gpl96_00867,Shared,GPL570 & GPL96,Gene 867,High
GENE_00868,probe_gpl570_00868,probe_gpl96_00868,Shared,GPL570 & GPL96,Gene 868,High
GENE_00869,probe_gpl570_00869,probe_gpl96_00869,Shared,GPL570 & GPL96,Gene 869,High
GENE_00870,probe_gpl570_00870,probe_gpl96_00870,Shared,GPL570 & GPL96,Gene 870,High
GENE_00871,probe_gpl570_00871,probe_gpl96_00871,Shared,GPL570 & GPL96,Gene 871,High
GENE_00872,probe_gpl570_00872,probe_gpl96_00872,Shared,GPL570 & GPL96,Gene 872,High
GENE_00873,probe_gpl570_00873,probe_gpl96_00873,Shared,GPL570 & GPL96,Gene 873,High
GENE_00874,probe_gpl570_00874,probe_gpl96_00874,Shared,GPL570 & GPL96,Gene 874,High
GENE_00875,probe_gpl570_00875,probe_gpl96_00875,Shared,GPL570 & GPL96,Gene 875,High
GENE_00876,probe_gpl570_00876,probe_gpl96_00876,Shared,GPL570 & GPL96,Gene 876,High
GENE_00877,probe_gpl570_00877,probe_gpl96_00877,Shared,GPL570 & GPL96,Gene 877,High
GENE_00878,probe_gpl570_00878,probe_gpl96_00878,Shared,GPL570 & GPL96,Gene 878,High
